Open,High,Low,Close,Volume,Dividends,Stock Splits,Moving_Average
170.57000732421875,171.94000244140625,169.4499969482422,170.85000610351562,54288300,0.0,0.0,
170.0,171.4199981689453,169.5800018310547,169.7100067138672,57388400,0.0,0.0,
170.41000366210938,173.60000610351562,170.11000061035156,173.30999755859375,60273300,0.0,0.0,
171.75,172.22999572753906,170.50999450683594,171.47999572753906,65672700,0.0,0.0,
171.19000244140625,171.25,169.47999572753906,170.02999877929688,46240500,0.0,0.0,
169.0800018310547,169.33999633789062,168.22999572753906,168.83999633789062,49329500,0.0,0.0,
168.7899932861328,170.67999267578125,168.5800018310547,169.64999389648438,47691700,0.0,0.0,
170.2899932861328,171.9199981689453,168.82000732421875,168.82000732421875,53704400,0.0,0.0,
169.58999633789062,170.38999938964844,168.9499969482422,169.5800018310547,42055200,0.0,0.0,
169.02999877929688,169.1999969482422,168.24000549316406,168.4499969482422,37425500,0.0,0.0,
168.6999969482422,170.0800018310547,168.35000610351562,169.6699981689453,42451200,0.0,0.0,
168.8000030517578,169.08999633789062,167.11000061035156,167.77999877929688,49709300,0.0,0.0,
168.33999633789062,175.4600067138672,168.16000366210938,175.0399932861328,91070300,0.0,0.0,
174.25999450683594,178.36000061035156,174.2100067138672,176.5500030517578,101593300,0.0,0.0,
175.36000061035156,176.6300048828125,172.5,172.69000244140625,73531800,0.0,0.0,172.1059997558594
171.75,173.75999450683594,168.27000427246094,169.3800048828125,73711200,0.0,0.0,172.22733256022136
169.61000061035156,170.64999389648438,168.0,168.0,50901200,0.0,0.0,172.1759989420573
168.02999877929688,168.63999938964844,166.5500030517578,167.0399932861328,43122900,0.0,0.0,171.84533182779947
166.2100067138672,166.39999389648438,164.0800018310547,165.0,67772100,0.0,0.0,171.4566650390625
165.52000427246094,167.25999450683594,164.77000427246094,165.83999633789062,48077800,0.0,0.0,171.19066467285157
